__v,_id,createdAt,lastMessage,lastMessageAt,participants
"""693df563af1ae37bad9c6abb""","[""6918de9088db45809edd5c29"",""693dd7dd7e0030b3466b2b41""]",2025-12-14T22:30:24.102Z,2025-12-13T23:23:15.447Z,0,"""693f3a7ff5856d8d87028343"""
"""693df570af1ae37bad9c6aee""","[""6918cc662e72901c68a01b7a"",""693dd7dd7e0030b3466b2b41""]",2026-01-11T18:10:58.012Z,2025-12-13T23:23:28.152Z,0,"""6963e7b1a4759f683df85c2d"""
"""693f3a79f5856d8d8702832a""","[""6908cc60693037639c054dad"",""6918de9088db45809edd5c29""]",2025-12-14T22:30:17.062Z,2025-12-14T22:30:17.062Z,0
